Family,Name,QUALITY,SIZE,COUNTRY,COMMENTS,PRICE,
APLUSTRIDAE, Hydatina albocincta,F++,25,Vietnam,,5.00,
APORRHAIDAE, Aporrhais serresianus,F++,36-37,Spain,,5.00,
ARCHITECTONICIDAE, Heliacus fallaciosus,F++,16,Italy,,"6,00",
ARCHITECTONICIDAE, Heliacus fallaciosus,F++,15.8,Italy,W/O,"8,00",
BUCCINIDAE,Aeneator,castillai,F++,65-70,Chile,"Good quality for this rough shells, thin growth line, LARGE",25.00,
BUCCINIDAE,Aeneator,fontainei,F+,50-60,Chile,rough lip,5.00,
BUCCINIDAE,Aeneator,fontainei,F+,61+,Chile,rough lip,7.00,
BUCCINIDAE,Aeneator,loissae,F++,82,Chile,"Typical protoconch missing, large, nice","30,00",
BUCCINIDAE,Aeneator,loissae,F++,90.7,Chile,"Huge, typical protoconch missing.","70,00",
BUCCINIDAE,Aeneator,loissae,F++,60-70,Chile, Protoconch missing,"15,00",
BUCCINIDAE,Aeneator,loissae,F++,70-75,Chile, Protoconch missing,"20,00",
BUCCINIDAE,Aeneator,sp.,F++,30-40,Chile,Deep water,40.00,
BUCCINIDAE,Aeneator,sp.,F++,41+,Chile,Deep water,60.00,
BUCCINIDAE,Cantharus,pastinaca,F++,19-20,Ecuador,,"10,00",
BUCCINIDAE,Fusitriton ,oregon galea,F++,85,Japan,"W/O, protocnch missing","10,00",
BUCCINIDAE,Neptunea,contraria,F++,108,Spain,"W/O, nice quality","35,00",
BUCCINIDAE,Neptunea,contraria,F++,94-98,Spain,"W/O, Nice quality","20,00",
BUCCINIDAE,Phos,articulatus,F++,18+,Panama,,"3,00",
BUCCINIDAE,Solenosteira,fusiformis,F++,50-56,Ecuador,,"6,00",
BUCCINIDAE,Volutharpa,nipponkaiensis,F++,32,Japan,Fragile shell,"10,00",
BUCCINIDAE,Pollia,mollis,F++,20.8,Japan,Uncommon,"15,00",
BUCCINIDAE,Cantharus,gemmatus,F++,20-22,Ecuador,,2.50,
BUCCINIDAE,Cantharus,gemmatus,F++,27,Ecuador,Large,"4,00",
BULLIDAE,Bulla ,botanica,F++,55-57,Australia,Larges,"8,00",
BULLIDAE,Bulla ,botanica,F++,49,Australia,,"5,00",
CALLIOTROPIDAE,Bathybembix,humboldti,F++,57-58,Chile,"Large, W/O, good quality",100.00,
CALLIOTROPIDAE,Bathybembix,humboldti,F+,62,Chile,"W/O, Equal to World record size??",250.00,
CALLIOTROPIDAE,Bathybembix,humboldti,F++,52,Chile,"W/O, Nice sample",70.00,
CALLIOTROPIDAE,Bathybembix,humboldti,F++,40-46,Chile,W/O,"30,00",
CALLIOTROPIDAE,Bathybembix,humboldti,F++,35-39,Chile,,20.00,
CALLIOTROPIDAE,Bathybembix,humboldti,F,40-50,Chile,"W/O, Typical missing top,",20.00,
CALLIOTROPIDAE,Ginebis,argenteonitens,F++,55-54,Japan,W/O,"10,00",
CALLIOTROPIDAE,Ginebis,argenteonitens,f+,46,Japan,"W/O, scar on first whorl","6,00",
CALLIOTROPIDAE,Ginebis,argenteonitens,F,48,Japan,Drilled on last whorl,"3,00",
CALLIOTROPIDAE,Ginebis,convexiusculus,F++,54-56,Japan,,"10,00",
CALLIOTROPIDAE,Euchelus,alarconi,F++,4-5,Easter Island,,"12,00",
CALLIOSTOMATIDAE,Calliostoma,annulatum,F++,26,USA,Very nice sample,"20,00",
CALLIOSTOMATIDAE,Calliostoma,annulatum,F++,19,USA,All brown shell,"10,00",
CALLIOSTOMATIDAE,Otukaia,chilena,F+,34.9,Chile,HUGE,300.00,
CALLIOSTOMATIDAE,Otukaia,chilena,F++,32.8,Chile,Huge,200.00,
CALLIOSTOMATIDAE,Otukaia,delli,F++,31.7,Chile,"Huge, NICE IRIDESCENT","200,00",
CALLIOSTOMATIDAE,Otukaia,delli,F+,26,Chile,"Tiny drill, growth line","40,00",
CALLIOSTOMATIDAE,Otukaia,delli,F++,28.6,Chile,,"80,00",
CALLIOSTOMATIDAE,Otukaia,delli,F++,29.6,Chile,,"80,00",
CALLIOSTOMATIDAE,Otukaia,delli,F++,29,Chile,"Nice iridescent, W/O","180,00",
CALLIOSTOMATIDAE,Otukaia,delli,F++,34.2,Chile,Huge,250.00,
CALLIOSTOMATIDAE,Calliostoma,moebiusi,F++,5-7,Chile,,7.00,
CALLIOSTOMATIDAE,Calliostoma,moebiusi,F++,9-10,Chile,"Very nice, W/O, red colour",12.00,
CALLIOSTOMATIDAE,Calliostoma,moebiusi,F++,8-10,Chile,"Very nice, W/O, radial cream and red bands ",20.00,
